D,CODE,T,Offense Description,NC General Statute,Offense Start Date,Offense End Date,CL,Class Start Date,Class End Date,DWI and IC Report,Max Date,(0) Offense Ongoing | (1) Offense Ended | (2) Free Text | (3) No Info Provided,
 ,1311,F,FEL ASSAULT INDIV W/DISAB,14-32.1(E),20181201,99999999,F,20181201,99999999,No,20181201,0,
 ,1312,F,MAL CONDUCT BY PRISONER/THROW,14-258.4(A),20181201,99999999,F,20181201,99999999,No,20181201,0,
 ,1313,F,MAL CONDUCT BY PRIS/EXPOSE,14-258.4(B),20181201,99999999,I,20181201,99999999,No,20181201,0,
 ,1314,F,AWDW GOVT/CAMP/COMP OFFR/EMPL,14-34.2,20231201,99999999,E,20231201,99999999,No,20231201,0,
 ,1315,F,ASSAULT ISBI UNBORN CHILD,14-23.5(A),20111201,99999999,F,20111201,99999999,No,20111201,0,
 ,1316,M,BATTERY OF UNBORN CHILD,14-23.6(A),20111201,99999999,A1,20111201,99999999,No,20111201,0,
 ,1317,F,AWDWISI EMERGENCY WORKER,14-32(D),20231201,99999999,D,20231201,99999999,No,20231201,0,
 ,1318,M,ASSAULT SCHOOL EMPL/VOLUNT,14-33(C)(6),19991201,99999999,A1,19991201,99999999,No,19991201,0,
 ,1319,F,AWDWIK EMERGENCY WORKER,14-32(E),20231201,99999999,D,20231201,99999999,No,20231201,0,
*,1320,M,ASSAULT ATTEMPT SERIOUS INJURY,14-33(B)(1),00000000,19951130,1,19941001,19951130,No,19951130,1,
*,1321,M,ASSAULT - SERIOUS INJURY,14-33(B)(1),00000000,19940608,A1, , ,No,19940608,1,
 ,1322,M,ASSAULT BY POINTING A GUN,14-34,00000000,99999999,1,19941001,19951130,No,19951130,1,
 ,1322,M,ASSAULT BY POINTING A GUN,14-34,00000000,99999999,A1,19951201,99999999,No,19951201,0,
 ,1323,F,ASSAULT BY STRANGULATION,14-32.4(B),20041201,99999999,H,20041201,99999999,No,20041201,0,
 ,1324,F,MALICIOUS ASSAULT IN SECRET,14-31,00000000,99999999,E,19941001,99999999,No,19941001,0,
 ,1325,F,ASSAULT SERIOUS BODILY INJURY,14-32.4,19970101,99999999,F,19970101,99999999,No,19970101,0,
*,1326,M,ASSAULT INFLICT SERIOUS INJURY,14-33(B)(1),00000000,19951130,1,19941001,19951130,No,19951130,1,
*,1327,M,ASSAULT - DEADLY WEAPON,14-33(B)(1),00000000,19940606,A1, , ,No,19940606,1,
*,1328,M,ASSAULT ON A CHILD UNDER 12,14-33(B)(3),00000000,19951130,1,19941001,19951130,No,19951130,1,
 ,1329,M,ASSAULT PUBLIC TRANSIT OPERATR,14-33(C)(7),20041201,99999999,A1,20041201,99999999,No,20041201,0,
*,1330,M,ASSAULT ON A FEMALE,14-33(B)(2),00000000,19951130,1,19941001,19951130,No,19951130,1,
 ,1331,M,ASSAULT CO/CAMPUS POLICE OFCR,14-33(C)(8),20050728,99999999,A1,20050728,99999999,No,20050728,0,
 ,1332,M,ASSAULT ON EMERGENCY PERSONNEL,14-288.9,00000000,20111130,1,19941001,20111130,No,20111130,1,
*,1333,M,ASSAULT ON DSS WORKER,14-33(B)(7),00000000,19911001,A1, , ,No,19911001,1,
 ,1334,F,AWDW EMERGENCY PERSON,14-288.9,00000000,99999999,F,19941001,99999999,No,19941001,0,
 ,1335,F,ASSAULT ON EMERGENCY PERSONNEL,14-288.9,20111201,99999999,I,20111201,20231130,No,20231130,1,
 ,1335,F,ASSAULT ON EMERGENCY PERSONNEL,14-288.9,20111201,99999999,H,20231201,99999999,No,20231201,0,
 ,1336,M,ASSAULT AND BATTERY,14-33(A),00000000,99999999,1,19941001,19951130,No,19951130,1,
 ,1336,M,ASSAULT AND BATTERY,14-33(A),00000000,99999999,2,19951201,99999999,No,19951201,0,
 ,1337,F,ASSAULT PHY INJ EMERGENCY PRSN,14-34.6(A),20111201,99999999,I,20111201,99999999,No,20111201,0,
*,1338,M,ASSAULT ON LAW OFFICER,14-33(B)(4),00000000,19911001,A1, , ,No,19911001,1,
 ,1339,F,ASSAULT PHY INJ LE/PROB/PAR OF,14-34.7(C)(1),20111201,99999999,I,20111201,20231130,No,20231130,1,
